,Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,BCFG,BR,CALM,DZ,FG,FG+,FU,GR,HZ,MIFG,RA,SN,SQ,TS,TSRA,VCFG,VCTS
0,1,2007-05-01,83.0,50.0,66.5,12.5,51.0,56.0,0.0,2.0,448,1849,0.0,29.1,29.82,1.7,27.0,9.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2007-05-02,59.0,42.0,50.5,-3.5,42.0,47.0,14.0,0.0,447,1850,0.0,29.38,30.09,13.0,4.0,13.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2007-05-03,66.0,46.0,56.0,2.0,40.0,48.0,9.0,0.0,446,1851,0.0,29.39,30.12,11.7,7.0,11.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2007-05-04,66.0,49.0,57.5,3.5,41.0,50.0,7.0,0.0,444,1852,0.008,29.31,30.05,10.4,8.0,10.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,1,2007-05-05,66.0,53.0,59.5,5.5,38.0,49.0,5.0,0.0,443,1853,0.008,29.4,30.1,11.7,7.0,12.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2007-05-06,68.0,49.0,58.5,4.5,30.0,46.0,6.0,0.0,442,1855,0.0,29.57,30.29,14.4,11.0,15.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,2007-05-07,83.0,47.0,65.0,11.0,41.0,54.0,0.0,0.0,441,1856,0.008,29.38,30.12,8.6,18.0,10.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,1,2007-05-08,82.0,54.0,68.0,14.0,58.0,62.0,0.0,3.0,439,1857,0.0,29.29,30.03,2.7,11.0,5.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,2007-05-09,77.0,61.0,69.0,15.0,59.0,63.0,0.0,4.0,438,1858,0.13,29.21,29.94,3.9,9.0,6.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,1,2007-05-10,84.0,56.0,70.0,16.0,52.0,60.0,0.0,5.0,437,1859,0.0,29.2,29.92,0.7,17.0,4.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,2007-05-11,70.0,51.0,60.5,6.5,42.0,51.0,4.0,0.0,436,1860,0.0,29.33,30.04,11.3,3.0,12.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,2007-05-12,64.0,46.0,55.0,1.0,36.0,46.0,10.0,0.0,435,1901,0.0,29.49,30.2,12.4,3.0,12.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,2007-05-13,69.0,43.0,56.0,2.0,33.0,46.0,9.0,0.0,434,1902,0.0,29.49,30.24,6.6,14.0,8.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,2007-05-14,90.0,56.0,73.0,19.0,47.0,59.0,0.0,8.0,433,1903,0.0,29.23,29.97,16.9,21.0,17.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,2007-05-15,80.0,57.0,68.5,14.5,56.0,61.0,0.0,4.0,432,1904,0.38,29.13,29.84,8.1,27.0,12.3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,1,2007-05-16,66.0,44.0,55.0,1.0,43.0,48.0,10.0,0.0,431,1905,0.14,29.33,30.03,7.8,36.0,12.2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,1,2007-05-17,62.0,43.0,52.5,-1.5,32.0,43.0,12.0,0.0,430,1906,0.0,29.55,30.27,10.5,3.0,11.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,2007-05-18,71.0,42.0,56.5,2.5,30.0,46.0,8.0,0.0,429,1907,0.0,29.53,30.25,5.4,25.0,7.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,2007-05-19,80.0,56.0,68.0,14.0,39.0,53.0,0.0,3.0,428,1908,0.0,29.34,30.08,11.1,24.0,11.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,2007-05-20,69.0,43.0,56.0,2.0,40.0,44.0,9.0,0.0,427,1909,0.07,29.38,30.11,10.4,4.0,10.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20,1,2007-05-21,80.0,44.0,62.0,8.0,50.0,56.0,3.0,0.0,426,1910,0.0,29.33,30.06,6.3,11.0,8.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,2007-05-22,87.0,55.0,71.0,17.0,46.0,58.0,0.0,6.0,425,1911,0.0,29.34,30.06,10.0,18.0,10.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,2007-05-23,89.0,60.0,74.5,20.5,49.0,61.0,0.0,10.0,425,1912,0.0,29.39,30.1,11.4,19.0,11.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,2007-05-24,88.0,63.0,75.5,21.5,54.0,63.0,0.0,11.0,424,1913,0.02,29.41,30.11,14.9,21.0,17.3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
24,1,2007-05-25,70.0,56.0,63.0,9.0,44.0,53.0,2.0,0.0,423,1914,0.008,29.51,30.24,4.9,5.0,8.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,2007-05-26,65.0,49.0,57.0,3.0,55.0,56.0,8.0,0.0,422,1915,1.01,29.36,30.11,2.8,17.0,7.2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
